title_length,question_length,accepted_answer_id,question_date,tags,tags_length,view_count,answer_date
53,2574,37738104,2016-06-09 20:10:52.550 UTC,google-analytics|drupal-7|google-tag-manager|universal-analytics|drupal-commerce,80,522,2016-06-10 00:13:02.770 UTC
27,535,37442587,2016-05-25 15:36:19.577 UTC,sql-server|ssis|enterprise|sql-server-data-tools|ssdt-bi,56,42,2016-05-25 16:12:18.980 UTC
87,1946,37550734,2016-05-31 15:36:47.460 UTC,r,1,56,2016-05-31 16:10:38.387 UTC
53,418,37768366,2016-06-11 17:38:54.733 UTC,api|oauth|google-analytics|google-analytics-api|google-analytics-firebase,73,1361,2016-06-11 20:46:14.160 UTC
57,1250,37594489,2016-05-24 09:32:21.660 UTC,permissions|file-permissions|tomcat8|permission-denied|windows-server-2012-r2,77,2908,2016-06-02 14:17:18.903 UTC
48,10672,37850714,2016-06-15 09:39:54.647 UTC,logstash|logstash-grok|logstash-configuration|logstash-forwarder|logstash-file,78,607,2016-06-16 05:41:05.440 UTC
74,1599,37775015,2016-06-12 13:41:09.847 UTC,javascript|jquery|asp.net-mvc-3|checkbox|nested-checkboxes,58,608,2016-06-12 13:50:50.823 UTC
61,1226,37550939,2016-05-30 09:55:53.720 UTC,cordova|azure|authentication|asp.net-web-api2|azure-mobile-services,67,99,2016-05-31 16:20:57.303 UTC
59,630,37728630,2016-06-09 09:35:19.517 UTC,google-play|app-store|app-store-connect|developer-console,57,101,2016-06-09 14:20:55.093 UTC
53,1609,7719424,2011-10-09 15:18:36.850 UTC,cocoa|nsmanagedobjectcontext|nsundomanager|nspersistentdocument,63,203,2011-10-10 22:32:00.190 UTC
62,790,7721626,2011-10-11 04:45:00.807 UTC,ruby-on-rails|callback|associations|after-save|before-save,58,192,2011-10-11 05:10:23.043 UTC
36,1675,8010239,2011-11-04 11:44:20.713 UTC,ruby-on-rails|ruby|ruby-on-rails-3|ruby-on-rails-plugins|thinking-sphinx,72,253,2011-11-04 13:55:01.240 UTC
36,289,20564301,2013-12-13 10:32:57.603 UTC,apache|.htaccess|environment-variables|increment|setenv,55,279,2013-12-13 10:34:38.670 UTC
68,1004,20450105,2013-12-08 04:57:24.063 UTC,scala|if-statement|functional-programming|pattern-matching,58,290,2013-12-08 05:02:34.673 UTC
67,667,20524191,2013-12-11 16:00:55.303 UTC,ruby-on-rails|ruby|heroku|amazon-web-services|paperclip,55,565,2013-12-11 16:10:43.550 UTC
75,264,20565673,2013-12-13 11:41:08.227 UTC,ios|objective-c|properties|uiviewcontroller|uitableview,55,56,2013-12-13 11:42:08.783 UTC
